id,name,sub_title,place,actor,date,open_time,start_time,close_time,time_original,max_price,min_price,price_text,link,inquiry,detail,num_of_people,input_table,input_table_rec_id
47,ラッセン原画展-ORIGIN-同時開催ファンタジーアート展,イベント,国際会議場 コンベンションホール,アールビバン株式会社,2021-01-09,11:00,11:00,19:00,11:00～19:00（初日のみ14時開場、最終日のみ18時閉場）,0,0,,https://artvivant-event.jp/,https://www.m-messe.co.jp/event/detail/6519,入場無料/絵画展示販売会,,csv,47
48,ラッセン原画展-ORIGIN-同時開催ファンタジーアート展,イベント,国際会議場 コンベンションホール,アールビバン株式会社,2021-01-10,11:00,11:00,19:00,11:00～19:00（初日のみ14時開場、最終日のみ18時閉場）,0,0,,https://artvivant-event.jp/,https://www.m-messe.co.jp/event/detail/6519,入場無料/絵画展示販売会,,csv,48
49,ラッセン原画展-ORIGIN-同時開催ファンタジーアート展,イベント,国際会議場 コンベンションホール,アールビバン株式会社,2021-01-11,11:00,11:00,19:00,11:00～19:00（初日のみ14時開場、最終日のみ18時閉場）,0,0,,https://artvivant-event.jp/,https://www.m-messe.co.jp/event/detail/6519,入場無料/絵画展示販売会,,csv,49
50,家具メッセバザールin幕張メッセ,即売会,国際展示場 展示ホール7〜8,株式会社 かねたや家具店,2021-01-09,,,,（1/9(土)10:00～19:001/10(日)10:00～19:001/11(月.祝)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6504,国内最大級10.000㎡に家具・インテリアが大集合 リビング、ダイニング、ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,50
51,家具メッセバザールin幕張メッセ,即売会,国際展示場 展示ホール7〜8,株式会社 かねたや家具店,2021-01-10,,,,（1/9(土)10:00～19:001/10(日)10:00～19:001/11(月.祝)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6504,国内最大級10.000㎡に家具・インテリアが大集合 リビング、ダイニング、ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,51
52,家具メッセバザールin幕張メッセ,即売会,国際展示場 展示ホール7〜8,株式会社 かねたや家具店,2021-01-11,,,,（1/9(土)10:00～19:001/10(日)10:00～19:001/11(月.祝)10:00～18:00）,0,0,,http://www.kanetaya.com,https://www.m-messe.co.jp/event/detail/6504,国内最大級10.000㎡に家具・インテリアが大集合 リビング、ダイニング、ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,,csv,52
53,【開催中止】東京オートサロン2021,展示会・見本市,国際展示場 展示ホール1〜8,東京オートサロン事務局,2021-01-15,,,,（【開催中止】）,0,0,,https://www.tokyoautosalon.jp/2021/,https://www.m-messe.co.jp/event/detail/6407,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,53
54,【開催中止】東京オートサロン2021,展示会・見本市,国際展示場 展示ホール1〜8,東京オートサロン事務局,2021-01-16,,,,（【開催中止】）,0,0,,https://www.tokyoautosalon.jp/2021/,https://www.m-messe.co.jp/event/detail/6407,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,54
55,【開催中止】東京オートサロン2021,展示会・見本市,国際展示場 展示ホール1〜8,東京オートサロン事務局,2021-01-17,,,,（【開催中止】）,0,0,,https://www.tokyoautosalon.jp/2021/,https://www.m-messe.co.jp/event/detail/6407,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,55
56,市川中学校 第1回入学試験,イベント,"国際展示場 展示ホール1〜3', '幕張イベントホール",学校法人 市川学園,2021-01-20,08:00,08:00,13:00,08:00～13:00,0,0,なし,http://www.ichigaku.ac.jp/,https://www.m-messe.co.jp/event/detail/6409,入学試験,,csv,56
